comment,compound,positive,negative,neutral,label
sedih iya melihat STY di pecat semoga bisa kembali lagi,-0.9325,0.154,0.615,0.231,negative
semoga STY tetap D Indonesia dan jadi pelatih khusus bagi talenta muda yang akan tumbuh,0.8402,0.529,0.265,0.206,positive
dan sekarang timnas hilang arah semenjak di ganti pelatih,0.9325,0.737,0.0,0.263,positive
Dua orang yang Tulus yang ingin Sepakbola majuKuat yakni Pak Jokowi dan STY,-0.7906,0.25,0.429,0.321,negative
era kehancuran sudah di mulai,0.7184,0.667,0.0,0.333,positive
respect,0.4767,1.0,0.0,0.0,positive
garuda sedang Tertunduk kepada dunia dan kenyataan,0.25,0.25,0.0,0.75,positive
gara gara ET,-0.9001,0.0,0.909,0.091,negative
era sty memang mantapp Sayangnya yang awalnya mau di perpanjang sampai 2027 putus karena 1 orang,0.875,0.526,0.263,0.211,positive
ramaikan up dongg plis,0.6124,0.571,0.0,0.429,positive
sudah dititik pasrah banget lihat timnas anjirr,0.9325,0.824,0.0,0.176,positive
kalau di suruh masyarakat iuran bayar gaji sty saya paling pertama asal dia balik lagi,-0.9638,0.065,0.677,0.258,negative
negara seluas ini apa gunanya,-0.6124,0.0,0.5,0.5,negative
6 9 kali kenapa kali 79 kali kali 7 kali 1 kali 2 V 112 9x2 kali 7 2dx V 12 x418x 81 kali 14x 49 dx V tapi 12 x4 19x2 14x 32 dx19 V kali x12 kenapa kali 79 kali kali 7 kali 1 2 kali V 12 x418x81 x14x49 dx V pi12 x4 19x2 14x32 dx 19 V kali x12x37 kenapa x79 kali x7 kali 2 V 112 9x2 x7 2dx V pi12 x418x 81 kali 14x 49 dx V tapi 12 x4 xx4 19x2 14x 32 dx19 V kali x12 kenapa kali 79 kali kali 7 kali 1 kali 2 V 112 9x2 kali 7 2dx V 12 x418x81 x14x49 dx V pi12 x4 19x2 14x32 dx 19 V kali x12x37 kenapa x79 kali x7 kali 1 kali 2 V 112 9x2 x7 2dx V pi12 x418x 81 kali dx 14x 49 dx v 12 tapi 12 x4 19x2 14x 32 dx19 V kali x12 kenapa kali 79 kali kali 7 kali 1 kali 2 V 112 9x2 kali 7 2dx V12 x418x81 x14x49 dx Vpi12 x4 19x2 14x32 dx 19 Vxx12x37 yx79 xx7 x1 x2 V112 9x2 x72dx Vpi12 x418x81 x14x49 dx V pi12 x4 19x2 14x kenapa 79 kali kali 7 kali kali kali kali kali 1 kali kali kali 2 x2 x2 kali x2 kali kali v kali kali x2 kali kali kali kali kali x14x 32 dx19 V kali x12 kenapa kali 79 kali kali 7 kali 1 kali 2 V 112 9x2 kali 7 2dx V12 x418x81 x14x49 dx Vpi12 x4 19x2 14x32 dx 19 Vxx12x37 yx79 xx7 x1 x2 V112 9x2 x72dx Vpi12 x418x81 x14x49 dx Vpi12 x4 19x2 14x32 0,-0.9958,0.0,0.207,0.793,negative
1 kata untuk patrick,-0.25,0.0,0.5,0.5,negative
sempaat bangkit dari masa kelam tapi dijatuhkan lagi ke lubang yang sama,-0.9584,0.2,0.657,0.143,negative
era kegelapan,0.0,0.0,0.0,1.0,neutral
bahkan di rusak pederasi sndri beserta pengamat anj,0.6124,0.364,0.0,0.636,positive
di sekolah saya sering dipanggil sintayongsty sama teman saya tidak tahu kayaknya karena nama saya ada ai nya deh sekian terimakasih,0.25,0.438,0.438,0.125,positive
Jadi malu sama yang di naturalisasi sasi,0.25,0.5,0.333,0.167,positive
kenapa naturalisasi semuaaaaa,0.0,0.0,0.0,1.0,neutral
kita bisa dukung Persib Bandung di ACl two untuk mengharumkan Indonesia,0.6124,0.312,0.125,0.562,positive
el piala dunia cik,-0.4588,0.25,0.5,0.25,negative
lah kenapa pada marah kan kita kalah terhormat,-0.9517,0.0,0.75,0.25,negative
kebahagiaan itu bernama sty,0.8402,0.714,0.214,0.071,positive
Erik,-0.6124,0.0,1.0,0.0,negative
walaupun indonesia kalah pas era shin pasti kami gabakal marah marah,-0.9517,0.229,0.629,0.143,negative
Ai,0.0,0.0,0.0,1.0,neutral
apa2 harus ada mafia,-0.8402,0.278,0.667,0.056,negative
Indonesia gelap,-0.7184,0.0,0.833,0.167,negative
timnas putri saja sudah masuk semi final sea games,0.4588,0.478,0.348,0.174,positive
dia totalitas banget cuk main,0.0,0.455,0.364,0.182,neutral
bisa di coba 2 tahun lagi,-0.25,0.3,0.4,0.3,negative
era kegelapan sudah mulai menyelimuti timna kita lagi,0.25,0.4,0.267,0.333,positive
sapriiii jadi guru pendidikan jasmani ajataktik gaadaa nglatih penting megang bola terus main,0.9186,0.591,0.0,0.409,positive
Kembali ke era kegelapan kah,0.0,0.0,0.0,1.0,neutral
Malaysia layak semi pun tklee buat apee sebab player muda sekarang tk cam dulu biar rambut tk style janji gameplay style ini rambut style gameplay haukk,0.7906,0.366,0.171,0.463,positive
sudah iya main king king nya,0.7906,0.636,0.0,0.364,positive
ditangan pelatik koplak macam indre saperi kita percaya DNA timnas kita akan lebih hancur dari ini ayo perpanjang kontrak indra saperi sampai 2030,0.8402,0.371,0.114,0.514,positive
Kiper indon kenapa ngak panggil mama gufron penjaga gawang neraka pasti ngak bolos satu gol,0.7184,0.459,0.324,0.216,positive
ayammmmmm,0.0,0.0,0.0,1.0,neutral
setelah ini pasti Indra Syafri di pecatterus tidak brpa lama kemudian di panggil lagi untuk melatihItulh bobrok nya pengurus PSSI Erick Thohir,-0.9517,0.174,0.5,0.326,negative
Ada yang salah dalam pemikiran pengurus pemain pelatih mereka selalu berkata ekspetasi kami terlalu tinggi padahal kami sudah bosan dengan kegagalan demi kegagalan sepakbola indonesia sejak dulu hingga kini,0.9001,0.463,0.284,0.254,positive
sakit nya sampai sini,-0.6124,0.273,0.545,0.182,negative
tidak tidak tidak tidak shin tae yong tidak boleh tergantikan,-0.9899,0.073,0.854,0.073,negative
saya tidak seberapa paham akan hal ini tapi kenapa saya ikutan menangis,-0.9517,0.156,0.625,0.219,negative
patah hati banget kecewa banget balikin lagi tidak,-0.9001,0.292,0.625,0.083,negative
di tahun 2026 akan ada demo besarbesaran oleh para penggemar bola,0.6124,0.4,0.2,0.4,positive
coach sin back,-0.25,0.0,0.5,0.5,negative
apakah ini era gelap Indonesia,-0.7184,0.0,0.556,0.444,negative
pas masih era sty masih lihat terus timnas maintapi sekarang semua sudah hampa,0.25,0.4,0.333,0.267,positive
menang rasa kalah,-0.4588,0.385,0.615,0.0,negative
rasanya sedih banget,-0.7184,0.222,0.667,0.111,negative
bahkan masukkan hoky bukan nya raven dari awal babak ke 2,-0.9001,0.136,0.591,0.273,negative
2021,0.0,0.0,0.0,1.0,neutral
Myanmar lolos tidak,-0.9186,0.0,0.917,0.083,negative
kiper myanmar blunder,0.0,0.0,0.0,1.0,neutral
Kejadiannya sama persis seperti nam dinh vs kotoran po di afc 2 kemarin cuma butuh 1 gol buat lolos ke babak knockout tapi tidak bisa nambah,-0.9856,0.165,0.62,0.215,negative
malam ganti pelatih kocak,0.6124,0.615,0.385,0.0,positive
padahal 1 lagi lolos semi final,-0.4588,0.412,0.529,0.059,negative
kekancuran tiba saat sty pergi,0.25,0.333,0.0,0.667,positive
kenapa garuda kita ini,0.0,0.0,0.0,1.0,neutral
lolos tidak,-0.9186,0.0,1.0,0.0,negative
respect untuk kiper nya,0.4767,0.508,0.0,0.492,positive
raven jadi pembeda broo,0.25,0.4,0.0,0.6,positive
ini itu efek dari naturalisasi karena banyaknya pemain naturalisasi jadi permain timmnas jadinya pemain lokal tidak berkembang,-0.9517,0.233,0.581,0.186,negative
keep strong,0.5106,0.767,0.0,0.233,positive
era kegelapan tim nasional indonesia telah kembali,-0.7184,0.0,0.455,0.545,negative
struick tuker raven harus nya,-0.7906,0.0,0.6,0.4,negative
mana prime jersey baju merah celana putih,0.4588,0.471,0.294,0.235,positive
kok mils bukannya espro yah maaf ketinggalan,-0.7184,0.2,0.533,0.267,negative
Ini semua salah siapa iya salah Eri,-0.9325,0.105,0.737,0.158,negative
coba kamu lihat marselino mukanya,0.7906,0.7,0.0,0.3,positive
seketika marselino diam,0.25,0.5,0.0,0.5,positive
hatinya tulus banget sih coach brrti sebenarnya coanch shin masih mau melatih timnas indonesia smpai membawa indonesia menjadi lbih baik disepak bola sumpah bimbang tiap hari coach shin suka bola karena coach shin,0.9719,0.492,0.154,0.354,positive
kok saya ikut menangis iya padahal saya jarang nonton bola,-0.9638,0.0,0.75,0.25,negative
kembalikan era sty,0.0,0.0,0.0,1.0,neutral
semoga coach sty balik ngelatih indonesia lagi AAmmmmiiiiiiiiiiiiiinnnnnnn,-0.8402,0.0,0.571,0.429,negative
Erik Arya out,-0.6124,0.0,0.667,0.333,negative
inget sejauh mana kalian melangkah tanpa ayah saya,-0.6124,0.0,0.364,0.636,negative
welcome tu masa kegelapan timnas,0.7184,0.556,0.0,0.444,positive
emas yang di buang,-0.9001,0.0,0.833,0.167,negative
Indonesia sama seperti real Madridsedang di posisi terpuruk,0.0,0.389,0.389,0.222,neutral
bropadahal tinggal menunggu ole diera styeeh ole data sty bahkan dipecat,-0.7906,0.111,0.444,0.444,negative
tenang saudara laki-laki dulu kita pernah masuk pilih,0.0,0.333,0.389,0.278,neutral
era sty,0.0,0.0,0.0,1.0,neutral
sebelum ramai,0.6124,0.8,0.0,0.2,positive
mana ini yang bilang sty kebantu naturalisasi sekarang lihat naturalisasi sudah full,0.25,0.348,0.261,0.391,positive
sepak bola dicampur politik gabakalan maju,-0.7184,0.0,0.6,0.4,negative
kita merasah kehilangan harapan kita di timnas Indonesia ketika sty tayong TDK ada tolong kembalikan sty tayong ke kami lagi kami sangat membantu kan bliau sekarang,0.875,0.383,0.191,0.426,positive
ko ikut sedih iya,-0.9001,0.0,0.833,0.167,negative
saya hampir tidak pernah lihat kalau timnas main sty duduk dia full berdiri nemenin timnas main sampai akhir pelatih sekarang beda,0.0,0.408,0.388,0.204,neutral
Iya semoga shin tae yong balik lagi yaa,-0.9325,0.0,0.722,0.278,negative
jadi tidak smngt nonton bola,-0.7184,0.182,0.545,0.273,negative
tearstearstearstears lebih sedih dari putus cinta,-0.25,0.476,0.476,0.048,negative
PSSI lain kali jangan sia kan orang yang serius untuk mengembangkan negara kita,-0.9849,0.0,0.771,0.229,negative
terimakasih coach STY aku bukan penggemar bola tapi lihat beliau di pulangkan buat sesek karena di era beliau timnas sembuh,0.9186,0.488,0.195,0.317,positive
jujur bukan saya ternak sty yaa tapi saat dia ngelatih dia protes ke wasit sangat keras kalau ada pemain timnas yang di lakukan tidak adil di pertandingan kaya seorang bapak banget,-0.9638,0.296,0.519,0.185,negative
dikasih oppa bahkan milih opet lawak pssi,0.0,0.273,0.273,0.455,neutral
kasian,-0.6124,0.0,1.0,0.0,negative
Oktober ke nya apa Kangen STY Kangen Lemparan lembingnya arhan Kangen Marselino cetak brace,0.8402,0.462,0.154,0.385,positive
di suruh pulang agar Indonesia tidak lolos,-0.9638,0.0,0.857,0.143,negative
kami tidak benci patrick tapi tidak bisa dipungkiri kami kangen opa STY,-0.6124,0.31,0.414,0.276,negative
berharap indonesia lolos tidak taunya gagal,-0.9186,0.217,0.696,0.087,negative
hanya dengan coach shin anda merasakan emosional dan ikatan sepakbola timnas kita setelah Ariedhl,-0.875,0.0,0.429,0.571,negative
dibangun oleh luis milla di sempurnakan oleh shin Taeyong di robohkan oleh Patrick Kluivert,0.0,0.0,0.0,1.0,neutral
SANGAT TERHARU DENGAN UNGKAPAN KETULUSAN HATI NURANI STY INI SEMOGA HARAPANMU BUSA MENJADI NYATA VANG STY,0.9186,0.48,0.0,0.52,positive
TINGGAL DIPECAT,0.25,0.667,0.0,0.333,positive
seandainya itu yang latih sty gagal pun dia bakal ikut menangis lha Patrick bahkan senyum,-0.9834,0.152,0.739,0.109,negative
Coach kita gagal,-0.7184,0.0,0.714,0.286,negative
coach kita gagal,-0.7184,0.0,0.714,0.286,negative
dari dulu nonton timnas belum pernah sebahagia era STY,-0.6124,0.0,0.333,0.667,negative
kesetian itu ada pada STY,-0.25,0.357,0.5,0.143,negative
semua nya gara gara towell,-0.9432,0.0,0.875,0.125,negative
coach perjuanganmu digagalkan PK,0.0,0.0,0.0,1.0,neutral
era jokowi coacg shin dilindungi dari mafia,-0.9001,0.0,0.667,0.333,negative
tapi dia buat sekolah bola loh,0.25,0.462,0.308,0.231,positive
betul,0.4588,1.0,0.0,0.0,positive
bahkan sebelum ke pildun kamu telah pergi dahulu,0.6124,0.455,0.0,0.545,positive
kembalikan STY kami,0.0,0.0,0.0,1.0,neutral
hmmmmmmmm,0.0,0.0,0.0,1.0,neutral
udhlah sudah tidak ada harapan,0.4588,0.529,0.353,0.118,positive
makasi iya sty,0.0,0.0,0.0,1.0,neutral
saya menangis banget,-0.875,0.167,0.833,0.0,negative
sebernerya sty itu mau di pecat sudah lawan china kemarin karena ada clash antara timnas dan sty jadi pssi mengambil keputusan untuk memecat sty karena sifat pelatih itu sementara sedangkan pemain adalah legenda sendainya waktu itu tidak ada clash mungkin sty masih stay sampai 2027,-0.6124,0.353,0.392,0.255,negative
Respect Sama Kiper Myanmar,0.7964,0.78,0.0,0.22,positive
tetap semangat garuda kamu bisaaaaa,0.875,0.75,0.0,0.25,positive
Unik kan Yang menang disupport yang kalah Bagaikan bumi dan langit di mana semifinalis Piala Asia 1 Tak lolos di tahun berikutnya 2 Tak lolos di fase grup SEA Games 3 Runner up AFF U23 Main B saja top skor modal lawan Brunei Karma is real Memecat seseorang yang membangun sepak bola dari nol di seluruh kelompok umur karena ngebet ingin piala Sedangkan yang dapat Tropy Junior AFFSea Games di tahun sebelumnya tidak berkembangstuck levelnya di masa sekarang,-0.996,0.186,0.503,0.311,negative
urusan pecat mecat urusan federasi sama pelatih yang konflik urusan mereka yang penting suporter selalu menghargai pelatihnya dalam kondisi apapun,0.6124,0.453,0.34,0.208,positive
apakah di round 4 ini penentu untuk pelatih Patrick semisal diaa belum bisa memberikan yang terbaik buat timnas mnding panggil lagi sty,0.0,0.308,0.308,0.385,neutral
kembalikan STY,0.0,0.0,0.0,1.0,neutral
pliiss kembalikan sty,0.0,0.0,0.0,1.0,neutral
sty dengan bangga 343 541 dan berhasil menjadi era terbagus kluivert dengan bangga 433 dan menjadi kembali ke era kegelapan,0.9186,0.414,0.0,0.586,positive
Kembalikan sty,0.0,0.0,0.0,1.0,neutral
padahal sudah di Sempurnain sama STY malh di ganti saya ingin STY kembali,0.8402,0.48,0.16,0.36,positive
SHIN TAE YONG tugasku hanya menyembuhkan sayapmu garudaentah siapa yang engkau ajak terbang itu hakmu pilihanmu,-0.9742,0.109,0.646,0.245,negative
KELIHATAN SEKALI MELATIH TIMNAS PAKAI HATI,0.25,0.333,0.222,0.444,positive
KEMBALIKAN STY,0.0,0.0,0.0,1.0,neutral
welcome to era kegelapan,0.7184,0.625,0.0,0.375,positive
mnurut opini gwsebenernya Kya tidak kasih ruangan buat talenta anak bangsa terlalu ngandelin naturalisasi,-0.7184,0.312,0.438,0.25,negative
dulu sty pngin banget punya st seperti ole tapi pas oleh sudah dinaturalisasi bahkan sty dipecat,0.9186,0.519,0.074,0.407,positive
berbangga lah kalian semua yang sudah merasakan era emas nya timnas sebelum akhirnya kembali ke era kegelapan,-0.7906,0.143,0.357,0.5,negative
janji mu belum selesai namun kamu sudah dibuat untuk pergi,0.8402,0.562,0.0,0.438,positive
kenapa sebenarnya awal babak kedua langsung dimasukkan jens raven itu mah disimpen saja padahal jens raven pemain yang bagus,-0.8402,0.319,0.468,0.213,negative
karma STY erickout,0.0,0.0,0.0,1.0,neutral
pemain lokal ke unggulan nya cuma lari kencang saja tapi passing sama tendangan kacau,0.0,0.389,0.417,0.194,neutral
Pildun gagal sea games gagal ericktohirmundur,-0.9001,0.0,0.714,0.286,negative
kiper Myanmar kayak orang Indo,-0.8402,0.0,0.727,0.273,negative
saya kasihan sama pemian diaspora yang rela berkorban demi bangsa cinta tanah air eh ketua dan pengurus fredasinya banyak mafia nya tidak suka sepak bola Indonesia maju,-0.25,0.408,0.421,0.171,negative
Erick Thohir lihat perbuatan mu sekarang,0.6124,0.444,0.0,0.556,positive
Coach Impian anak bangsa Indonesia sudah terkubur coach,0.6124,0.471,0.235,0.294,positive
coach pondasi iya anda susun dengan baik sekarang cuma tinggal kenangan coach kita gagal coach,-0.7184,0.303,0.424,0.273,negative
pelatih mana lagi yang setulus sty,-0.7906,0.235,0.588,0.176,negative
namun sudah terlambat untuk menyesali nya,0.8402,0.667,0.0,0.333,positive
coach kita selesai di sini,0.4588,0.429,0.0,0.571,positive
bangkitkan lagi STY citamu itu,-0.7906,0.0,0.7,0.3,negative
semoga saja sty bisa kembali ke Indonesia lagi,-0.8402,0.0,0.571,0.429,negative
coach kangenn coach,0.0,0.0,0.0,1.0,neutral
tolong kembalikan coach sty,0.6124,0.571,0.0,0.429,positive
semua hal di negeri ini di kotori sepak bola yang bersih pun di kotori juga memang ANJ,-0.9325,0.143,0.514,0.343,negative
Coach kami gagal,-0.7184,0.0,0.714,0.286,negative
bisa coach tapi bahkan di ganti,0.6124,0.444,0.0,0.556,positive
coach kami gagal pergi ke Piala Dunia,-0.4588,0.308,0.385,0.308,negative
Kita gagal coach,-0.7184,0.0,0.714,0.286,negative
coach kita gagal,-0.7184,0.0,0.714,0.286,negative
Balik coach balik timnas gagal ke pildun kami tidak mau gagal total juga di piala asia,-0.9638,0.15,0.6,0.25,negative
STY the best Forever Coacht Timnas Indonesia Good job iam fun you STY jaya,0.9661,0.649,0.0,0.351,positive
lihat link tadi langsung menangis dia njirr,-0.4588,0.381,0.476,0.143,negative
pssi anji,0.0,0.0,0.0,1.0,neutral
kenapa iya di negara ini orang tulus selalu di sia siakan,-0.25,0.25,0.3,0.45,negative
suka bola karena sty bisa latih timnas dengan bagus dan bisa beberapa menang itu sudah bangga,0.9584,0.615,0.179,0.205,positive
tidak ada angin tidak ada hujan tibatiba saja kena pecat padahal coach ini God,-0.9423,0.313,0.576,0.111,negative
Nyesek ge,-0.7184,0.0,0.833,0.167,negative
saya yang lihatnya saja menangis anjing apa lagi mereka nangisnya,-0.9891,0.0,0.917,0.083,negative
sumpah nyesek saya anjing,-0.9001,0.222,0.778,0.0,negative
saya kesini karena tiba tiba inget coach Sty,-0.8402,0.0,0.571,0.429,negative
jadi sedih,-0.7184,0.25,0.75,0.0,negative
KENAPA SIH HARUS DIPECATTT,-0.7906,0.0,0.667,0.333,negative
Coach katanya mau ke pildun bareng bareng,0.9325,0.737,0.105,0.158,positive
BELIAU SATU2 NYA PELATIH YG BUAT ANAK2 MAMAK2 IKUT NANGIS PASCA STY DI PECAT,-0.9186,0.194,0.516,0.29,negative
jarang2 pelatih timnas sesedih ini karena dia sangat sayang buat anak2 nya yang bermain sepak bola,-0.7184,0.35,0.45,0.2,negative
plissss aku tidak kuat,-0.25,0.462,0.462,0.077,negative
Orang Yang Sudah Di Pecat Tidak Bisa Pulang Kembali Ke Timnas Asuhannya,-0.9517,0.133,0.6,0.267,negative
12 oktober adl hari patah hati ke2 kami setelah STY di pecat Timnas kita gagal di langkah terakhir,-0.875,0.216,0.432,0.351,negative
sty liris lagi cuy,-0.6124,0.0,0.571,0.429,negative
Aku terakhir,0.4588,0.75,0.0,0.25,positive
KEMBALIKAN STY,0.0,0.0,0.0,1.0,neutral
aku tahu rasanya ditinggal itu,0.0,0.471,0.471,0.059,neutral
respect sama Myanmar mereka yang KLH tapi rasanya menang,0.7269,0.524,0.26,0.216,positive
entah kenapa performa Indonesia yang sekarang menurun,-0.9432,0.0,0.778,0.222,negative
terlambat masukkan Jens Raven nya harusnya babak 2 duetin Raven sama mauro kalau mau All out attack akhir baru masukkan hoki ferari sama arjuna,0.872,0.408,0.229,0.363,positive
era kegelapan datang penggemar timnas yang asli jadi kelihatan alhamdulillah,-0.25,0.407,0.407,0.185,negative
sudah capek lolosin asia bahkan di ganti kocak,0.9001,0.65,0.15,0.2,positive
beda iya sama petrik cuma bisa plonga plongo sana sini megangi dagu,-0.4588,0.2,0.35,0.45,negative
kalau memang niat ganti pelatih kenapa tidak dari kualifikasi pertama saja pak erik pas round 4 baru ganti pelatih memang se cepat itu masuk ritme permainan nya pemain baru mendapat posisi terbaik nya di era sty harus di rubah lagi dengan adanya pelatih baru dan permainan baru,0.9001,0.44,0.353,0.207,positive
sty kembaliiiiiiiiiiiii,0.0,0.0,0.0,1.0,neutral
orng nonis yang bersifat kaya sty tu sering saya temui cuy,-0.6124,0.292,0.417,0.292,negative
kalau sty dia mau membela anak nya benar atau salah apa lagi kalau ada kecurangan terhadap Indonesia sty the best,-0.7003,0.349,0.479,0.172,negative
ingat dia rela loh negaranya sendiri kalah demi Indonesia,-0.6124,0.346,0.5,0.154,negative
KAMI RINDU COACH STY,0.4588,0.5,0.0,0.5,positive
Kalaupun kalah bersama sty saya bisa ikhlas,0.0,0.429,0.429,0.143,neutral
ganti saja coach nya di mulai dari nol sama sty sampai sukses ujung ujung nya di campak kan sama petrick hadehh memang iya kangen era sth,0.6124,0.448,0.373,0.179,positive
STY PELATIH INDONESIA YG PERNAH ADA SEFREKWENSI DENGAN PEMAIN Bangun timnas dari proses yang panjang hingga membaik bahkan hancur sesaat,-0.6448,0.335,0.405,0.26,negative
Lihat beliau membela anak anaknya,0.0,0.364,0.364,0.273,neutral
pasti sty tidak mau memulai dari nol lagi kalau seandainya di panggil,-0.9186,0.27,0.649,0.081,negative
sty rela di berikan kartu merah untuk indonesia terimakasih sty karena sudah melatih indonesia sampai ke titik ini,0.9584,0.558,0.186,0.256,positive
COBA AJA KEMAREN BISA SABAR DIKIT AJA ERIK THOHIR KITA GA BKLAN KAYA GINI KEMAREN KITA UDH PD,0.7184,0.444,0.25,0.306,positive
dari sty kita belajar carilah tempat dimana kita dihargai,-0.6124,0.222,0.444,0.333,negative
andai saja era sty squad timnas semewah sekarang,-0.25,0.231,0.308,0.462,negative
era sty kalau timnas kalah pasti salah dia di era patrik skrng kalau timnas kalah salah pemain,-0.9834,0.091,0.727,0.182,negative
SaveSTY,0.0,0.0,0.0,1.0,neutral
Muka sty sekilas mirip alm bapak ku,0.25,0.25,0.0,0.75,positive
lelah buannggeet,0.7184,0.833,0.0,0.167,positive
stiker sticker,0.0,0.0,0.0,1.0,neutral
lebih baik nonton Persib yanh selaluu menang dari pada nonton timnas yang selalu kalah,-0.875,0.297,0.514,0.189,negative
informasi skor,0.4588,0.75,0.0,0.25,positive
2025 adalah tahun terburuk,0.0,0.0,0.0,1.0,neutral
njirr lah padahal dulu sty ancaman pemain indonesia sekarah bahkan jadi pelatih indonesia yang sangat hebat,-0.7906,0.286,0.429,0.286,negative
coach,0.0,0.0,0.0,1.0,neutral
we Love Coach STY,0.7906,0.667,0.0,0.333,positive
ayo Kita pakai hastag KEMBALIKANSTY,0.7906,0.7,0.0,0.3,positive
di kasih opa opa bahkan milih ikan teri,0.0,0.25,0.25,0.5,neutral
kembalikan sty lagikita butuh sty,-0.7906,0.0,0.6,0.4,negative
Thnks STY GODBLESS YOU,0.0,0.0,0.0,1.0,neutral
bangsa ini tidak akan lupa siapa yang menyembuhkan luka garuda serta mengajari belajar mengangkasa trimakasih walau hanya sesaat,-0.9325,0.32,0.52,0.16,negative
kok saya tidak terima kasih iya kalau sty di pecat,-0.9325,0.214,0.643,0.143,negative
padahal sty yang sudah membawa Indonesia sejauh ini tapi kenapa dia dipecat,-0.7906,0.174,0.435,0.391,negative
aku pernah bermimpi indonesia masuk dunia 2026 bersama stytapi komentarku di abaikan,0.25,0.391,0.304,0.304,positive
sty come back to Indonesia we miss your era,-0.7184,0.0,0.385,0.615,negative
Dia datang kesini bukan ketika timnas nol tapi minussss,-0.9584,0.0,0.773,0.227,negative
marselino itu impian nya membawa negara kita ke PILDUN tapi dia GK di mainin dan itu juga GK lolos piala dunia,-0.9186,0.158,0.474,0.368,negative
gagal coach,-0.7184,0.0,0.833,0.167,negative
kalau memilih gagal mendingan saya lebih milih gagal sama stysty yang bangun tapi dirusak samaa bintang lautt,-0.9776,0.14,0.674,0.186,negative
orang lama pemenangnya,0.0,0.455,0.455,0.091,neutral
PSSI,0.0,0.0,0.0,1.0,neutral
apakah perpisahan Patrick juga seperti begini kah,-0.4588,0.0,0.444,0.556,negative
TAEYONG menang Indonesia menang,0.9001,0.833,0.0,0.167,positive
pria tulus itu bernama shin taeyong,0.8402,0.625,0.188,0.188,positive
kalau cuma di pecat berarti tidak seharus nya di ganti selamanya,-0.9325,0.207,0.621,0.172,negative
sudah,0.6124,1.0,0.0,0.0,positive
sedih kalau di putar2 videonya,-0.8402,0.0,0.727,0.273,negative
Eric Thohir kembali kan Shin Tae Yong ke Indonesia,-0.7184,0.0,0.385,0.615,negative
lihat seberapa cintanya sty terhadap timnas kita seakan akan dia anggap timnas kita adalah timnas Korea semoga STY kembali saya kangen sama gameplaynya,0.6124,0.316,0.211,0.474,positive
saya menangis anjing,-0.9517,0.0,1.0,0.0,negative
mana ini yang bilang sty tidak bisa jadi pelatih baik,-0.6124,0.37,0.444,0.185,negative
aku jadi menangis,-0.4588,0.455,0.545,0.0,negative
siapa yang naro bawang di sini sih ah,-0.7184,0.143,0.429,0.429,negative
menangis Lo dia,-0.9001,0.0,0.909,0.091,negative
sty harus kembali,-0.7906,0.0,0.75,0.25,negative
andaikan pada momen ini seporter timnas demo dan mempertahankan StY mungkin kita sudah ada dinpiala dunia,0.25,0.355,0.323,0.323,positive
setia sintayong saja,-0.875,0.0,0.9,0.1,negative
saya menangis anjing,-0.9517,0.0,1.0,0.0,negative
tangung jawab saya nangiss,0.0,0.4,0.4,0.2,neutral
Dimana wey ruang ikhlasnya,-0.6124,0.0,0.571,0.429,negative
sekarang kami membutuhkan mu coach SHIN THA YONG,0.0,0.0,0.0,1.0,neutral
TIDAK APAAPA KAWAN SHIN TAEYONG AKAN KEMBALI LAGI PADA 20 FEBRUARI 2025 CEK AJA APK CICI,-0.9726,0.077,0.615,0.308,negative
penggemar paling sabar iya penggemar indonesia,0.7906,0.545,0.0,0.455,positive
satu kata,0.4588,0.667,0.333,0.0,positive
makan itu buat yang bilang patrick star lebih bagus dari sty,-0.7906,0.346,0.5,0.154,negative
harapan terakhir di u17,0.0,0.0,0.0,1.0,neutral
hai saudara laki-laki doain aku masuk final sepak bola,0.7184,0.56,0.32,0.12,positive
tahu kan harus apa,-0.7184,0.312,0.625,0.062,negative
timnas san marino bilek,0.0,0.0,0.0,1.0,neutral
apapun hasilnya di situlah nasionalisme kita di uji,0.25,0.222,0.0,0.778,positive
biar kalah yang penting sama sty,-0.4588,0.455,0.5,0.045,negative
ternyata dulu pernah punya timnas sejago itu,0.25,0.333,0.25,0.417,positive
mengamati,0.0,0.0,0.0,1.0,neutral
sticker,0.0,0.0,0.0,1.0,neutral
Jesus casas here we go,0.0,0.0,0.0,1.0,neutral
tapi kenyataan itu telah hancur,-0.4588,0.0,0.429,0.571,negative
saya sangat bersedih karena mengingat sing teyong,-0.6124,0.385,0.538,0.077,negative
tolong untuk semua ultras suporter Indonesia besok tanggal 25 di stadion kita kompakan panggil coach shin tae young,-0.8402,0.222,0.444,0.333,negative
dibangun oleh sty dihancurkan oleh patrick,0.0,0.0,0.0,1.0,neutral
tapi kata kata itu sudah ngak ada artinya,0.6124,0.474,0.368,0.158,positive
mana kata mu itu coach,-0.6124,0.0,0.625,0.375,negative
tetapi semua itu hanya kenangannya,-0.9001,0.0,0.846,0.154,negative
ini lebih sakit dari pada jatuh dari sepeda,-0.9517,0.167,0.75,0.083,negative
ilove you sty,0.0,0.0,0.0,1.0,neutral
patrick dan towel mafia itu kerja sama agar bisa bantu patrick mssuk timnas dan sty di senggol,-0.4588,0.314,0.371,0.314,negative
kata kata ini sangat menyentuh hati,0.6124,0.538,0.308,0.154,positive
